TOPICS,PLACES,mcintyr,gr
cocoa,el-salvadorusauruguay,0,0
grainwheatcornbarleyoatsorghum,usa,0,0
veg-oillinseedlin-oilsoy-oilsun-oilsoybeanoilseedcornsunseedgrainsorghumwheat,argentina,1,0
earn,usa,1,0
acq,usa,0,1
earn,usa,0,1
earnacq,usa,1,0
earn,usa,0,1
earn,usa,0,1
earn,usa,0,1
wheatgrain,yemen-arab-republicusa,0,1
copper,usa,1,1
earn,usa,1,11
earn,usa,0,0
earn,usa,1,0
housing,usa,1,0
earn,usa,0,1
earn,usa,1,1
earn,usa,0,1
earn,canada,0,1
earn,usa,0,1
coffee,uk,0,1
acqship,usa,0,1
acq,usa,0,0
